ride_id,started_at,ended_at,start_station_name,end_station_name,ride_length,day_of_week,bike_type,costumer_type
A3F8D895163BBB49,1/1/2021 0:02:00,1/1/2021 0:12:00,,,0:10:34,6,electric_bike,member
0D139A3203274B87,1/1/2021 0:02:00,1/1/2021 0:08:00,State St & 33rd St,MLK Jr Dr & 29th St,0:06:15,6,classic_bike,member
C7AE8E9CDB197A8E,1/1/2021 0:06:00,1/1/2021 0:26:00,Lakeview Ave & Fullerton Pkwy,Ritchie Ct & Banks St,0:19:41,6,classic_bike,member
3097EF26414C7016,1/1/2021 0:12:00,1/1/2021 0:12:00,Montrose Harbor,Montrose Harbor,0:00:12,6,classic_bike,member
2633EB2B8A99F5CB,1/1/2021 0:12:00,1/1/2021 0:20:00,Kedzie Ave & Milwaukee Ave,,0:07:53,6,electric_bike,member
6604F61AE4B14BC1,1/1/2021 0:12:00,1/1/2021 0:43:00,Western Ave & Howard St,Campbell Ave & Fullerton Ave,0:31:10,6,electric_bike,member
938D5D1998A5470E,1/1/2021 0:12:00,1/1/2021 0:12:00,Montrose Harbor,Montrose Harbor,0:00:03,6,classic_bike,casual
800D57DEC9A6D587,1/1/2021 0:13:00,1/1/2021 0:33:00,Montrose Harbor,Lakefront Trail & Bryn Mawr Ave,0:20:14,6,electric_bike,casual
27B02C8B1AFAD968,1/1/2021 0:14:00,1/1/2021 0:33:00,Montrose Harbor,Lakefront Trail & Bryn Mawr Ave,0:19:19,6,classic_bike,member
89DA64E9078B63B1,1/1/2021 0:15:00,1/1/2021 0:18:00,MLK Jr Dr & 29th St,Calumet Ave & 33rd St,0:03:18,6,classic_bike,member
83BF1CD5246D9FF3,1/1/2021 0:19:00,1/1/2021 0:24:00,University Ave & 57th St,Ellis Ave & 60th St,0:05:09,6,classic_bike,member
2E3D82754EBC4F96,1/1/2021 0:19:00,1/1/2021 0:27:00,Cityfront Plaza Dr & Pioneer Ct,Lake Shore Dr & Ohio St,0:07:34,6,classic_bike,member
F9CF9D475BA24E30,1/1/2021 0:28:00,1/1/2021 0:34:00,Western Ave & Lunt Ave,Clark St & Lunt Ave,0:06:00,6,electric_bike,casual
EE0413AFE81E8EB3,1/1/2021 0:28:00,1/1/2021 0:46:00,Lake Shore Dr & Ohio St,Wabash Ave & Grand Ave,0:18:27,6,classic_bike,member
48E312E013F3046C,1/1/2021 0:29:00,1/1/2021 0:43:00,,,0:14:22,6,electric_bike,member
67CEBAC39756BB17,1/1/2021 0:30:00,1/1/2021 0:39:00,Clarendon Ave & Junior Ter,Clark St & Leland Ave,0:09:10,6,classic_bike,member
DC41683B55F3110C,1/1/2021 0:35:00,1/1/2021 14:05:00,Lincoln Ave & Roscoe St,Dodge Ave & Main St,13:30:06,6,classic_bike,casual
