ride_id,started_at,ended_at,start_station_name,end_station_name,ride_length,bike_type,costumer_type,ride_duration,ride_month,day_of_week
492B5DB7E09CD244,10/6/2021 17:06:00,10/6/2021 17:20:00,Michigan Ave & Lake St,Calumet Ave & 18th St,0:14:42,electric_bike,member,14,10,Wednesday
C953BCE5BAF481CF,10/6/2021 17:06:00,10/6/2021 17:20:00,Desplaines St & Kinzie St,Clinton St & Lake St,0:14:02,classic_bike,member,14,10,Wednesday
65EC2D97571DBD3F,10/6/2021 17:07:00,10/6/2021 17:12:00,Clinton St & Jackson Blvd,Aberdeen St & Monroe St,0:05:17,classic_bike,member,5,10,Wednesday
CFA3EB3680CF34F6,10/6/2021 17:07:00,10/6/2021 17:14:00,Halsted St & Clybourn Ave,Milwaukee Ave & Grand Ave,0:06:57,electric_bike,member,7,10,Wednesday
EF7DD10B61E50625,10/6/2021 17:08:00,10/6/2021 17:22:00,Franklin St & Jackson Blvd,Larrabee St & Division St,0:14:02,classic_bike,casual,14,10,Wednesday
C791B1DDD913A391,10/6/2021 17:08:00,10/6/2021 17:36:00,Michigan Ave & Oak St,Broadway & Argyle St,0:28:40,electric_bike,member,28,10,Wednesday
3C7B9C6536DEC258,10/6/2021 17:09:00,10/6/2021 17:18:00,Ellis Ave & 60th St,Ellis Ave & 55th St,0:08:36,classic_bike,member,9,10,Wednesday
FE18292CE6C67636,10/6/2021 17:09:00,10/6/2021 17:25:00,Clark St & Schiller St,DuSable Lake Shore Dr & Monroe St,0:15:27,docked_bike,casual,16,10,Wednesday
3424B72A65A833BD,10/6/2021 17:09:00,10/6/2021 17:25:00,Green St & Madison St,Millennium Park,0:15:27,electric_bike,casual,16,10,Wednesday
D95C327544C05BAE,10/6/2021 17:09:00,10/6/2021 17:14:00,Ellis Ave & 60th St,Ellis Ave & 55th St,0:05:19,classic_bike,member,5,10,Wednesday
3442DE3FBAC42788,10/6/2021 17:10:00,10/6/2021 17:26:00,LaSalle St & Illinois St,Wabash Ave & Roosevelt Rd,0:16:23,classic_bike,member,16,10,Wednesday
E4A131792CC6243C,10/6/2021 17:10:00,10/6/2021 17:34:00,Clark St & Bryn Mawr Ave,Halsted St & Roscoe St,0:24:34,classic_bike,member,24,10,Wednesday
0269799632DB44CA,10/6/2021 17:10:00,10/6/2021 17:37:00,Morgan St & Lake St,Emerald Ave & 31st St,0:26:47,classic_bike,member,27,10,Wednesday
BD057A8BFA311EE0,10/6/2021 17:10:00,10/6/2021 17:12:00,Clark St & Schiller St,Clark St & Elm St,0:02:00,classic_bike,member,2,10,Wednesday
E3FFA0700E96AAD5,10/6/2021 17:10:00,10/6/2021 17:43:00,Clark St & Elm St,California Ave & Fletcher St,0:32:56,classic_bike,member,33,10,Wednesday
8F11E39A9169D167,10/6/2021 17:10:00,10/6/2021 17:18:00,Leavitt St & Addison St,California Ave & Byron St,0:07:56,classic_bike,member,8,10,Wednesday
300D26FBCF31EF75,10/6/2021 17:11:00,10/6/2021 17:20:00,Lincoln Park Conservatory,Sheffield Ave & Willow St,0:09:38,classic_bike,member,9,10,Wednesday
06B09CE1123203AD,10/6/2021 17:11:00,10/6/2021 17:35:00,Damen Ave & Cullerton St,Wabash Ave & Cermak Rd,0:23:13,electric_bike,casual,24,10,Wednesday
84BB8907734806E2,10/6/2021 17:12:00,10/6/2021 17:47:00,State St & Randolph St,Richmond St & Diversey Ave,0:35:44,classic_bike,member,35,10,Wednesday
810DFFC6CCFC5FBA,10/6/2021 17:12:00,10/6/2021 17:28:00,Elston Ave & Cortland St,Campbell Ave & Fullerton Ave,0:16:57,classic_bike,casual,16,10,Wednesday
